City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
136,Tateyama,JP,2021-05-28 17:15:59,34.9833,139.8667,overcast clouds,70.99,86,100,24.65
137,Ola,RU,2021-05-28 17:16:00,59.5833,151.2833,overcast clouds,37.67,96,100,9.57
138,Biloela,AU,2021-05-28 17:16:00,-24.4167,150.5,broken clouds,48.96,59,75,7.87
139,Parral,MX,2021-05-28 17:16:00,26.9333,-105.6667,clear sky,84.54,11,1,8.88
140,Oktyabrskiy,RU,2021-05-28 17:16:01,54.4815,53.471,clear sky,63.86,68,6,4.83
141,Beloha,MG,2021-05-28 17:16:01,-25.1667,45.05,clear sky,65.98,80,0,5.61
142,Mount Isa,AU,2021-05-28 17:16:02,-20.7333,139.5,scattered clouds,64.17,20,28,9.22
143,North Bend,US,2021-05-28 17:16:02,43.4065,-124.2243,broken clouds,63.99,67,75,11.5
144,Sola,VU,2021-05-28 17:16:02,-13.8833,167.55,overcast clouds,77.27,65,98,11.18
145,Okhotsk,RU,2021-05-28 17:16:03,59.3833,143.3,overcast clouds,35.28,88,99,11.12
146,Oulainen,FI,2021-05-28 17:16:03,64.2667,24.8,few clouds,49.8,47,13,8.37
147,Yarensk,RU,2021-05-28 17:16:03,62.1675,49.0916,moderate rain,55.26,69,98,4.65
148,Esperance,AU,2021-05-28 17:11:06,-33.8667,121.9,light rain,65.5,47,99,16.8
149,Bethel,US,2021-05-28 17:16:04,41.3712,-73.414,clear sky,66.58,50,1,8.05
150,Severnyy,RU,2021-05-28 17:16:05,50.677,36.5532,clear sky,75.24,43,0,4.47
151,Upernavik,GL,2021-05-28 17:16:05,72.7868,-56.1549,clear sky,36.12,86,6,3.83
152,Kauhajoki,FI,2021-05-28 17:16:06,62.4333,22.1833,clear sky,56.41,49,4,6.4
153,Faanui,PF,2021-05-28 17:16:06,-16.4833,-151.75,broken clouds,79.95,68,62,4.59
154,Victoria,HK,2021-05-28 17:13:37,22.2855,114.1577,broken clouds,87.33,82,63,4.0
155,Asau,RO,2021-05-28 17:16:06,46.4333,26.4,light rain,58.28,100,100,4.16
156,Hambantota,LK,2021-05-28 17:16:07,6.1241,81.1185,overcast clouds,81.05,80,100,18.99
157,Khatanga,RU,2021-05-28 17:16:07,71.9667,102.5,overcast clouds,37.24,91,100,10.8
158,Alta,NO,2021-05-28 17:16:07,69.9689,23.2717,broken clouds,38.46,60,75,19.57
159,Chokurdakh,RU,2021-05-28 17:16:08,70.6333,147.9167,scattered clouds,44.37,61,30,12.12
160,Hithadhoo,MV,2021-05-28 17:16:08,-0.6,73.0833,overcast clouds,82.94,73,96,16.44
161,Bundaberg,AU,2021-05-28 17:16:08,-24.85,152.35,scattered clouds,55.22,60,30,3.0
162,Sabha,LY,2021-05-28 17:16:09,27.0377,14.4283,broken clouds,101.8,8,65,7.58
163,Berezniki,RU,2021-05-28 17:16:09,59.4152,56.8124,overcast clouds,57.83,98,94,5.03
164,Nanortalik,GL,2021-05-28 17:16:09,60.1432,-45.2371,few clouds,41.0,76,23,10.27
165,Jalu,LY,2021-05-28 17:16:10,29.0331,21.5482,clear sky,97.52,13,0,10.02
166,Arica,CL,2021-05-28 17:11:28,-18.475,-70.3042,clear sky,74.75,73,0,8.23
167,Antalaha,MG,2021-05-28 17:16:10,-14.9003,50.2788,clear sky,72.61,86,1,8.63
168,Belmonte,BR,2021-05-28 17:16:11,-15.8631,-38.8828,scattered clouds,82.9,64,26,7.72
169,Olafsvik,IS,2021-05-28 17:16:11,64.8945,-23.7142,moderate rain,51.39,73,100,27.72
170,Lata,PT,2021-05-28 17:16:11,40.1629,-8.3327,few clouds,85.71,51,16,9.33
171,Mandalgovi,MN,2021-05-28 17:16:12,45.7625,106.2708,broken clouds,56.26,52,60,19.86
