City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Morondava,MG,74.79,clear sky,-20.2833,44.2833,La Case Bambou
464,Dawlatabad,AF,87.62,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
465,Itarema,BR,86.45,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
468,Balykshi,KZ,73.4,scattered clouds,47.0667,51.8667,Гостиница Golden Rose
470,Saint-Denis,FR,72.99,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
473,Riohacha,CO,89.73,overcast clouds,11.5444,-72.9072,Hotel Taroa
474,Veraval,IN,84.78,broken clouds,20.9,70.3667,Lords Inn Somnath
476,Puerto Carreno,CO,86.68,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
477,Mvomero,TZ,74.37,overcast clouds,-6.25,38.6667,Kisampa Bush Retreat
478,Juba,SS,76.96,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
480,Camocim,BR,88.84,few clouds,-2.9022,-40.8411,Hotel Ilha do Amor
483,Kieta,PG,76.17,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
486,Sao Joao Da Barra,BR,86.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
489,Monte Aprazivel,BR,88.45,light rain,-20.7725,-49.7142,Torres Palace Hotel
500,Tabou,CI,82.94,overcast clouds,4.423,-7.3528,hotêl doufoulougou
502,Mumford,GH,83.21,scattered clouds,5.2618,-0.759,Spanish Villa
504,Matara,LK,80.01,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
505,Mayo,US,77.16,broken clouds,38.8876,-76.5119,Resorts Resource Group International
507,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
509,Kalmunai,LK,82.38,broken clouds,7.4167,81.8167,VS Villa
510,Damghan,IR,80.82,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
512,The Valley,AI,89.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
514,Jaen,ES,78.42,few clouds,38.0,-3.5,Hotel TRH Baeza
515,Guarapari,BR,85.91,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
516,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
527,Gambiran,ID,75.61,overcast clouds,-6.7988,111.4951,GUBUK KU
531,Ponnani,IN,81.72,scattered clouds,10.767000000000001,75.9252,Rouba Residency
532,Lucapa,AO,73.63,clear sky,-8.4192,20.7447,Residência Ulisses Dos Santos
533,Lufilufi,WS,81.75,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
536,Lencois Paulista,BR,88.29,overcast clouds,-22.5986,-48.8003,Saint James Palace Hotel
538,Kabala,SL,86.97,overcast clouds,9.5833,-11.55,Kabala Hill View
542,Bull Savanna,JM,83.25,light rain,17.8868,-77.5902,Big Red's
543,Lar,IN,77.11,overcast clouds,26.2039,83.9717,Ovaiskarni ward Lar
546,Bondo,CD,77.97,overcast clouds,3.8146,23.6866,
548,Bonthe,SL,84.9,light rain,7.5264,-12.505,Bonthe Holiday Village
550,Fruitvale,US,81.03,clear sky,39.0817,-108.4968,Grand Junction Palomino Inn
551,Mandera,KE,84.52,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
554,Irgakly,RU,71.08,clear sky,44.3611,44.7556,
556,Puerto Penasco,MX,76.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
559,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
560,Jonesboro,US,75.67,overcast clouds,35.8423,-90.7043,Hilton Garden Inn Jonesboro
561,Cape Coast,GH,83.7,broken clouds,5.1053,-1.2466,Samrit Hotel
563,Basoko,CD,73.99,light rain,1.2391,23.616,Jackyna Hotel
569,Colares,PT,80.28,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
570,Baghmara,IN,83.89,few clouds,23.795,86.2085,Shankar tea shop
573,Shizuishan,CN,73.36,broken clouds,39.2333,106.7694,Xingji Hotel
574,Half Moon Bay,US,71.11,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
579,Caninde De Sao Francisco,BR,83.95,overcast clouds,-9.66,-37.7894,Xingo Parque Hotel
582,Sigli,ID,77.9,overcast clouds,5.3848,95.9609,Losmen Dua Mali
584,Nurobod,UZ,81.45,clear sky,40.9056,69.8023,
585,Nong Bua,TH,81.81,overcast clouds,15.8646,100.5858,ลภัสรดารีสอร์ท
586,Yarada,IN,88.12,scattered clouds,17.65,83.2667,Jeevan
587,Mapastepec,MX,89.46,overcast clouds,15.4333,-92.9,Hotel San Carlos
588,Jaguaquara,BR,81.32,clear sky,-13.5306,-39.9708,Hotel Irmãos Vaz
589,Pyapon,MM,83.28,moderate rain,16.2833,95.6833,Aung Naing Thu Motel
591,Gazanjyk,TM,89.33,clear sky,39.2446,55.5154,Railway motel
592,Santa Isabel Do Rio Negro,BR,82.42,scattered clouds,-0.4139,-65.0192,Hotel GSA
593,Lasa,IT,70.68,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
596,Quatre Cocos,MU,73.09,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
602,Merauke,ID,76.15,overcast clouds,-8.4667,140.3333,
604,Iberia,US,79.99,scattered clouds,29.9502,-91.7507,back to back rv park
605,Villa Carlos Paz,AR,72.05,overcast clouds,-31.4241,-64.4978,Monte Carlo
606,Durango,MX,81.39,clear sky,24.8333,-104.8333,
607,Zhangye,CN,73.29,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
610,Marzuq,YE,83.84,broken clouds,14.4,46.4667,
611,Quelimane,MZ,71.55,few clouds,-17.8786,36.8883,Hotel Flamingo
612,Mana,GF,79.43,overcast clouds,5.6592,-53.7767,LE SAMANA
614,Gizo,SB,77.56,moderate rain,-8.103,156.8419,Imagination Island
618,Texarkana,US,80.74,scattered clouds,33.4251,-94.0477,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
619,Eydhafushi,MV,83.97,broken clouds,5.1033,73.0708,Soneva Fushi
620,Shubarkuduk,KZ,70.72,overcast clouds,49.1447,56.4872,Sirius
622,Wanning,CN,81.95,overcast clouds,18.8003,110.3967,Paradise Hotel
623,Petatlan,MX,89.4,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
624,Concarneau,FR,71.06,broken clouds,47.875,-3.9225,Hôtel de L' Océan
625,Dicabisagan,PH,80.37,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
633,Barra Da Estiva,BR,79.29,clear sky,-13.6261,-41.3269,Pousada Central
635,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Poutur Pousada
640,Maryville,US,81.73,overcast clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
644,Tucupita,VE,82.8,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
647,Anniston,US,81.97,few clouds,33.6598,-85.8316,"Hotel Finial, BW Premier Collection"
652,Kulhudhuffushi,MV,83.8,clear sky,6.6221,73.07,Haajy Guest House 1
